"SYMBOL","Index","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume"
AMZN,2016-10-15,835.05,835.5,835.05,835.49,55368
AMZN,2016-10-16,833.3,835.74,833.3,834.42,41713
AMZN,2016-10-17,834.02,835.31,834.02,835.01,29248
AMZN,2016-10-18,834.33,835.1,834.33,834.51,35275
AMZN,2016-10-19,833.1,834.95,833.1,833.33,28011
AMZN,2016-10-20,832.32,833.42,832.32,832.7,28431
AMZN,2016-10-21,832.7,833.9,832.7,833.7,24885
AMZN,2016-10-22,833.4973,834.53,833.4973,834.235,26819
AMZN,2016-10-23,834.285,834.79,834.285,834.6969,13435
AMZN,2016-10-24,834.56,835.41,834.56,835.3188,27924
AMZN,2016-10-25,834.756,835.55,834.756,835.14,20470
AMZN,2016-10-26,834.45,835.18,834.45,834.8,11687
AMZN,2016-10-27,834.1,835.07,834.1,834.3,10786
AMZN,2016-10-28,833.635,834.51,833.635,834.06,11320
AMZN,2016-10-29,833.89,834.28,833.89,834.045,10606
AMZN,2016-10-30,833.73,834.39,833.73,833.84,3646
AMZN,2016-10-31,833.59,834.045,833.59,833.68,10254
AMZN,2016-11-01,833.48,833.907,833.48,833.785,9130
AMZN,2016-11-02,833.57,834.13,833.57,833.57,22831
AMZN,2016-11-03,833.37,834.2686,833.37,834.2686,7074
AMZN,2016-11-04,833.3,834.245,833.3,833.785,5283
AMZN,2016-11-05,833.382,833.76,833.382,833.72,2887
AMZN,2016-11-06,833.6733,834.38,833.6733,834.11,11575
AMZN,2016-11-07,833.33,834.03,833.33,833.6,5461
AMZN,2016-11-08,833.18,833.97,833.18,833.3,11772
AMZN,2016-11-09,833.15,833.44,833.15,833.3,4150
AMZN,2016-11-10,832.925,833.5,832.925,832.9875,5725
AMZN,2016-11-11,832.76,833.0309,832.76,832.76,4021
AMZN,2016-11-12,832.39,832.83,832.39,832.39,6493
AMZN,2016-11-13,832.4,832.84,832.4,832.7,4218
AMZN,2016-11-14,831.92,832.65,831.92,831.995,12074
AMZN,2016-11-15,832.0008,833,832.0008,833,7375
AMZN,2016-11-16,832.3,832.98,832.3,832.57,8450
AMZN,2016-11-17,832,832.67,832,832.335,3232
AMZN,2016-11-18,832.24,832.74,832.24,832.53,7639
AMZN,2016-11-19,832.19,832.72,832.19,832.19,6272
AMZN,2016-11-20,832.17,832.7099,832.17,832.52,19194
AMZN,2016-11-21,832.095,832.53,832.095,832.2,5387
AMZN,2016-11-22,832,832.4499,832,832.4499,8386
AMZN,2016-11-23,832.02,832.35,832.02,832.25,5370
AMZN,2016-11-24,831.41,832.33,831.41,831.41,9722
AMZN,2016-11-25,830.98,831.45,830.98,831.06,10933
AMZN,2016-11-26,830.91,831.32,830.91,831.2,10200
AMZN,2016-11-27,831.252,832.13,831.252,832.13,8447
AMZN,2016-11-28,831.97,832.39,831.97,832.215,11734
AMZN,2016-11-29,831.9,832.49,831.9,832.031,8322
AMZN,2016-11-30,831.77,832.5,831.77,832.3,4348
AMZN,2016-12-01,832.16,832.49,832.16,832.18,8222
AMZN,2016-12-02,831.5,832.15,831.5,831.6016,14035
AMZN,2016-12-03,831.3,832,831.3,832,10334
AMZN,2016-12-04,831.61,832.1999,831.61,831.87,5400
AMZN,2016-12-05,831.77,832.09,831.77,831.98,5035
AMZN,2016-12-06,831.44,832.018,831.44,831.7103,6712
AMZN,2016-12-07,830.65,831.79,830.65,830.92,10721
AMZN,2016-12-08,830.59,831.521,830.59,830.7965,8124
AMZN,2016-12-09,830.5833,831.382,830.5833,831.382,6630
AMZN,2016-12-10,830.8826,831.35,830.8826,830.8826,4831
AMZN,2016-12-11,830.74,831.2314,830.74,831.12,3004
AMZN,2016-12-12,830.33,830.9861,830.33,830.33,16517
AMZN,2016-12-13,829.64,830.529,829.64,829.64,21479
AMZN,2016-12-14,829.12,829.92,829.12,829.15,21722
AMZN,2016-12-15,828.09,829.23,828.09,828.09,52663
AMZN,2016-12-16,827.98,828.6,827.98,828.49,28594
AMZN,2016-12-17,827.65,828.56,827.65,827.8,23939
AMZN,2016-12-18,827.55,828.2,827.55,827.615,19153
AMZN,2016-12-19,827.35,828.12,827.35,828.12,15937
AMZN,2016-12-20,827.68,828.5141,827.68,828.365,4787
AMZN,2016-12-21,828,828.4687,828,828.23,3896
AMZN,2016-12-22,827.67,828.09,827.67,828.085,7907
AMZN,2016-12-23,827.46,828.019,827.46,827.8599,2880
AMZN,2016-12-24,827.11,827.79,827.11,827.145,14680
AMZN,2016-12-25,827,827.47,827,827,14397
AMZN,2016-12-26,826.33,826.975,826.33,826.33,7799
AMZN,2016-12-27,825.5,826.6188,825.5,825.84,19721
AMZN,2016-12-28,825.72,826.75,825.72,826.29,19136
AMZN,2016-12-29,825.7243,826.55,825.7243,825.8011,22798
AMZN,2016-12-30,825.65,826.22,825.65,825.83,15801
AMZN,2016-12-31,825.69,826.37,825.69,825.97,12848
AMZN,2017-01-01,825.565,826.26,825.565,825.785,8410
AMZN,2017-01-02,824.9,825.9,824.9,825.32,35094
AMZN,2017-01-03,824.38,825.47,824.38,824.7,21536
AMZN,2017-01-04,823.55,824.8,823.55,823.605,15354
AMZN,2017-01-05,823.675,824.4,823.675,823.79,12875
AMZN,2017-01-06,823.68,824.5716,823.68,824.17,19880
AMZN,2017-01-07,823.56,824.36,823.56,824,22354
AMZN,2017-01-08,823.56,824,823.56,823.88,13122
AMZN,2017-01-09,823.62,824.9,823.62,824.878,20061
AMZN,2017-01-10,824.3962,824.99,824.3962,824.3962,7661
AMZN,2017-01-11,824.57,825.28,824.57,824.96,10445
AMZN,2017-01-12,824.82,825.44,824.82,825.15,10286
AMZN,2017-01-13,825.06,825.83,825.06,825.715,17141
AMZN,2017-01-14,825.55,825.934,825.55,825.844,8360
AMZN,2017-01-15,825.54,825.9,825.54,825.54,5225
AMZN,2017-01-16,825.15,825.899,825.15,825.2677,8413
AMZN,2017-01-17,825.1415,825.36,825.1415,825.353,4913
AMZN,2017-01-18,824.95,825.33,824.95,825.07,3522
AMZN,2017-01-19,825.01,825.26,825.01,825.15,5300
AMZN,2017-01-20,825.12,825.77,825.12,825.72,21145
AMZN,2017-01-21,825.28,826.08,825.28,825.42,9981
AMZN,2017-01-22,825.2508,825.538,825.2508,825.435,1400
AMZN,2017-01-23,825.16,825.56,825.16,825.42,4915
AMZN,2017-01-24,825.15,825.59,825.15,825.45,5850
AMZN,2017-01-25,825.2,825.652,825.2,825.47,3376
AMZN,2017-01-26,825.3101,825.56,825.3101,825.42,2614
AMZN,2017-01-27,825.3,825.7578,825.3,825.56,4460
AMZN,2017-01-28,825.38,825.72,825.38,825.52,2600
AMZN,2017-01-29,825.22,825.49,825.22,825.37,1902
AMZN,2017-01-30,825.23,825.4,825.23,825.38,1246
AMZN,2017-01-31,824.59,825.24,824.59,824.7001,14717
AMZN,2017-02-01,824.7,825.45,824.7,825.3,5581
AMZN,2017-02-02,825.33,825.98,825.33,825.96,5424
AMZN,2017-02-03,825.53,825.87,825.53,825.695,2796
AMZN,2017-02-04,825.62,825.95,825.62,825.8,7294
AMZN,2017-02-05,825.58,825.94,825.58,825.64,4950
AMZN,2017-02-06,825.5539,825.79,825.5539,825.721,2071
AMZN,2017-02-07,825.06,825.79,825.06,825.06,5052
AMZN,2017-02-08,824.6148,825.49,824.6148,825.49,6406
AMZN,2017-02-09,825.16,825.72,825.16,825.16,6880
AMZN,2017-02-10,825.2,825.58,825.2,825.35,4581
AMZN,2017-02-11,825.1212,825.529,825.1212,825.3021,5453
AMZN,2017-02-12,825.18,825.43,825.18,825.3067,3400
AMZN,2017-02-13,825.15,825.87,825.15,825.32,6421
AMZN,2017-02-14,825.15,825.85,825.15,825.85,4230
AMZN,2017-02-15,825.525,826.28,825.525,825.78,12759
AMZN,2017-02-16,825.695,825.89,825.695,825.72,3215
AMZN,2017-02-17,825.5,825.86,825.5,825.535,1750
AMZN,2017-02-18,825.53,825.93,825.53,825.66,7352
AMZN,2017-02-19,825.53,825.8699,825.53,825.8699,1100
AMZN,2017-02-20,825.35,825.81,825.35,825.68,6571
AMZN,2017-02-21,825.25,825.75,825.25,825.25,2125
AMZN,2017-02-22,825.55,825.72,825.55,825.72,721
AMZN,2017-02-23,825.15,825.595,825.15,825.15,800
AMZN,2017-02-24,824.55,825.25,824.55,824.55,3940
AMZN,2017-02-25,824.62,825.05,824.62,825.03,1870
AMZN,2017-02-26,824.93,825.21,824.93,825.15,2310
AMZN,2017-02-27,825.15,825.398,825.15,825.398,700
AMZN,2017-02-28,824.62,825.23,824.62,824.62,3000
AMZN,2017-03-01,824.62,824.85,824.62,824.625,3168
